166, 181, 1
166, 172, 0
78, 172, 0
78, 491, 0
82, 536, 0
91, 572, 0
94, 572, 0
211, 487, 0
206, 469, 0
207, 409, 0
324, 409, 0
540, 255, 0
216, 253, 0
198, 246, 0
184, 233, 0
173, 213, 0
166, 182, 0
166, 181, 1
343, 488, 1
337, 501, 0
329, 510, 0
315, 520, 0
299, 526, 0
279, 529, 0
260, 529, 0
229, 523, 0
107, 623, 0
127, 644, 0
157, 662, 0
194, 674, 0
233, 679, 0
278, 678, 0
322, 669, 0
342, 661, 0
364, 648, 0
379, 636, 0
393, 621, 0
411, 594, 0
420, 574, 0
430, 541, 0
438, 482, 0
439, 409, 0
577, 409, 0
594, 412, 0
614, 422, 0
630, 441, 0
638, 462, 0
641, 496, 0
726, 495, 0
726, 172, 0
641, 172, 0
640, 190, 0
636, 206, 0
628, 221, 0
613, 237, 0
591, 249, 0
575, 253, 0
556, 254, 0
351, 423, 0
350, 464, 0
347, 479, 0
343, 487, 0
343, 488, 1
